filepath,sb_id,time_uploaded_to_sb
out_data/study_stream_reaches.zip,623e54c4d34e915b67d83580,2022-04-29 17:34 CST
out_data/study_reservoirs.zip,623e54c4d34e915b67d83580,2022-04-29 17:34 CST
out_data/study_monitoring_sites.zip,623e54c4d34e915b67d83580,2022-04-29 17:33 CST
